Inner_Radius_Pixels,Outer_Radius_Pixels,Photon_Counts,Photon_Counts_Err,Exposure_Sum,Background_Counts,Background_Err,CXB_Counts,CXB_Err,Area_Pixels,Area_Arcsec2,Surface_Brightness,Surface_Brightness_Err,Inner_Radius_Arcsec,Outer_Radius_Arcsec
0.0,4.0000000596044405,35.0,5.916079783099616,285740.33203125,0.8188084025373542,0.9048803249807977,0.00044660029774332876,2.5070577513099807e-05,13,208.0000061988618,7.476356184897243e-06,1.3090734847269572e-06,0.0,16.000000476835528
4.0000000596044405,4.734042455877845,7.0,2.6457513110645907,109900.197265625,0.3149265061554863,0.5611831306761513,6.606517461820074e-05,3.708667659988852e-06,5,80.00000238417762,3.8017488797611103e-06,1.53810688425869e-06,16.000000476835528,18.936170105681335
4.734042455877845,5.602789410025703,26.0,5.0990195135927845,153860.40625,0.44089748266005546,0.6640011164599464,0.00012948785172452206,7.268994759000693e-06,7,112.00000333784867,1.0382370654476816e-05,2.0887729071650993e-06,18.936170105681335,22.41115797405394
5.602789410025703,6.630960635792442,26.0,5.0990195135927845,219801.037109375,0.6298548632918751,0.7936339605207651,0.0002642614710289419,1.4834714008552927e-05,10,160.00000476835524,7.2138763688288636e-06,1.4673532113915282e-06,22.41115797405394,26.523842938404467
6.630960635792442,7.847812176332929,39.0,6.244997998398398,329702.021484375,0.944783609855415,0.9719997993083204,0.0005945891498818631,3.337815367765066e-05,15,240.00000715253287,7.213828356199124e-06,1.1980872071229816e-06,26.523842938404467,31.39124917309617
7.847812176332929,9.287968868727752,53.0,7.280109889280518,439603.162109375,1.259712822769987,1.1223692898373454,0.0010570485000049432,5.933900288107383e-05,20,320.0000095367105,7.355956611316584e-06,1.0472682618680204e-06,31.39124917309617,37.1518760285152
9.287968868727752,10.992409574558124,60.0,7.745966692414834,593465.431640625,1.7006156564475614,1.3040765531392555,0.0019264746658532424,0.00010814554464326536,27,432.00001287455916,6.139516834444199e-06,8.272358097430846e-07,37.1518760285152,43.96963895342892
10.992409574558124,13.00963321073109,106.0,10.295630140987,813268.669921875,2.3304768178822477,1.526589931147932,0.003617761035899655,0.00020308844157224793,37,592.0000176429144,7.966763180915221e-06,7.998734651440898e-07,43.96963895342892,52.03853361835627
13.00963321073109,15.397038759316873,118.0,10.862780491200215,1164953.7890625,3.3382545098298526,1.8270890809782243,0.00742315756077889,0.000416710082729093,53,848.0000252722828,6.151226769256901e-06,5.90976454264269e-07,52.03853361835627,61.58815595499937
15.397038759316873,18.22255852381436,116.0,10.770329614269007,1648526.669921875,4.72396554496626,2.1734685516395817,0.014864878092245471,0.0008344622256579905,75,1200.0000357626643,4.218204666139269e-06,4.1656307871920944e-07,61.58815595499937,72.89023518140284
18.22255852381436,21.56659110524783,209.0,14.45683229480096,2307938.591796875,6.613555370682815,2.571683372945203,0.029135176889983287,0.0016355468508845422,105,1680.00005006773,5.479925466306017e-06,3.976434090216937e-07,72.89023518140284,86.26636570645591
21.56659110524783,25.524289099859935,274.0,16.55294535724685,3253108.46484375,9.322004099465035,3.053195719154774,0.05788477773672321,0.0032494488123048977,148,2368.0000705716575,5.083985557511253e-06,3.2338630291551426e-07,86.26636570645591,102.09715792080071
25.524289099859935,30.208266613572547,317.0,17.804493814764857,4462051.57421875,12.786312971287185,3.575795431968555,0.10890171886738163,0.006113361316529213,203,3248.000096797611,4.2595985723799715e-06,2.543675792399244e-07,102.09715792080071,120.83306825483702
30.208266613572547,35.751803634040876,414.0,20.346989949375804,6374382.41015625,18.26622735252893,4.273900718609281,0.22224920841183146,0.012476292637664563,290,4640.000138282302,3.877939522244666e-06,2.0385324143131563e-07,120.83306825483702,143.00721666712977
35.751803634040876,42.31263843893406,508.0,22.538855339169288,8836252.556640625,25.320884054158213,5.031986094392374,0.42706923231273713,0.023974171862979787,402,6432.000191687881,3.4110333343384172e-06,1.6334521364554392e-07,143.00721666712977,169.25055627775737
42.31263843893406,50.07745595132096,518.0,22.759613353482084,12397204.09765625,35.5250334447237,5.960288033704722,0.8406340284383738,0.04719025194700157,564,9024.000268935235,2.428139816743646e-06,1.1861121654360374e-07,169.25055627775737,200.30982679012257
50.07745595132096,59.26719975582947,567.0,23.811761799581316,17364967.69921875,49.76049873503328,7.054112186167249,1.6493209747517636,0.09258710652553097,790,12640.000376700063,1.8557123667572378e-06,8.938555029360706e-08,200.30982679012257,237.0688025559062
59.26719975582947,70.14335892605855,621.0,24.919871588754223,24355086.0703125,69.79115949818038,8.354110335528278,3.244393629772667,0.18212890226277936,1108,17728.00052833376,1.4061858295212225e-06,6.744878767830158e-08,237.0688025559062,280.5734398850899
