Region,Photon_Counts,Photon_Counts_Err,Exposure_Sum,Background_Counts,Background_Err,Area_Pixels,Area_Arcsec2,Surface_Brightness,Surface_Brightness_Err
NE,17615.0,132.72151295099073,1154474727.2278504,3308.2260312736657,57.517180314004136,57373,57373.0,2.1599799816761592e-10,2.1838476297465393e-12
NW,17191.0,131.11445381802878,1209143477.1542969,3464.8830606944325,58.86325730618747,57225,57225.0,1.9837368268813453e-10,2.0771040111519957e-12
SW,25398.0,159.36749982352111,1163902334.1640625,3335.241481073347,57.75154959889256,57137,57137.0,3.3176138742646507e-10,2.548932521234711e-12
SE,16081.0,126.81088281373961,1219350777.2753906,3494.1327751867557,59.1111899320827,57286,57286.0,1.8019406924094873e-10,2.0029734846283826e-12
