Inner_Radius_Pixels,Outer_Radius_Pixels,Photon_Counts,Photon_Counts_Err,Exposure_Sum,Background_Counts,Background_Err,CXB_Counts,CXB_Err,Area_Pixels,Area_Arcsec2,Surface_Brightness,Surface_Brightness_Err,Inner_Radius_Arcsec,Outer_Radius_Arcsec
0.0,4.0000000596044405,136.0,11.661903789690601,1098997.1171875,3.1492511719864797,1.7746129639970738,0.00660648827375683,0.00037086512748317957,50,800.0000238417762,7.554850252966186e-06,6.708476274489465e-07,0.0,16.000000476835528
4.0000000596044405,4.734042455877845,53.0,7.280109889280518,461578.50390625,1.3226846642448904,1.1500802859995862,0.001165383811139636,6.542056805004527e-05,21,336.000010013546,6.9972046973801205e-06,9.979873621857146e-07,16.000000476835528,18.936170105681335
4.734042455877845,5.602789410025703,79.0,8.888194417315589,593458.21875,1.700594968731136,1.3040686211741834,0.0019264512517665644,0.0001081442302583939,27,432.00001287455916,8.14057690101506e-06,9.460807893495992e-07,18.936170105681335,22.41115797405394
5.602789410025703,6.630960635792442,106.0,10.295630140987,835237.306640625,2.393429452425447,1.5470712499511607,0.003815905331533203,0.0002142115687791949,38,608.0000181197499,7.752493717275657e-06,7.790612418175026e-07,22.41115797405394,26.523842938404467
6.630960635792442,7.847812176332929,162.0,12.727922061357855,1274837.32421875,3.653133251062567,1.9113171508314801,0.008889695281225822,0.0004990363771407467,58,928.0000276564604,7.762655738834476e-06,6.309937564471154e-07,26.523842938404467,31.39124917309617
7.847812176332929,9.287968868727752,191.0,13.820274961085254,1692456.439453125,4.849849313827733,2.2022373427557107,0.015667955727260454,0.0008795441931340873,77,1232.0000367163354,6.8736804993991825e-06,5.168019295952401e-07,31.39124917309617,37.1518760285152
9.287968868727752,10.992409574558124,257.0,16.0312195418814,2373833.244140625,6.802381009551799,2.6081374598651426,0.030823224821400572,0.0017303079532041542,108,1728.0000514982366,6.586572291029504e-06,4.2763097447347957e-07,37.1518760285152,43.96963895342892
10.992409574558124,13.00963321073109,370.0,19.235384061671343,3340948.525390625,9.573715747180213,3.094142166607768,0.06105447249090103,0.0034273843811547687,152,2432.0000724789998,6.741446633754092e-06,3.644670673961758e-07,43.96963895342892,52.03853361835627
13.00963321073109,15.397038759316873,539.0,23.2163735324878,4703702.375,13.478779840558758,3.671345780576757,0.12102015877759363,0.006793648115803634,214,3424.000102042802,6.981205208888397e-06,3.1231870077463797e-07,52.03853361835627,61.58815595499937
15.397038759316873,18.22255852381436,569.0,23.853720883753127,5978522.83984375,17.131864826693324,4.139065694899433,0.21347865256748855,0.011983944331495407,297,4752.00014162015,5.767045795197462e-06,2.530951546953055e-07,61.58815595499937,72.89023518140284
