Inner_Radius_Pixels,Outer_Radius_Pixels,Photon_Counts,Photon_Counts_Err,Exposure_Sum,Background_Counts,Background_Err,Area_Pixels,Area_Arcsec2,Surface_Brightness,Surface_Brightness_Err,Inner_Radius_Arcsec,Outer_Radius_Arcsec
0.0,4.0000000596044405,136.0,11.661903789690601,1098997.1171875,3.1492511719864797,1.7746129639970738,50,800.0000238417762,7.555225964147177e-06,6.708476271173995e-07,0.0,16.000000476835528
4.0000000596044405,4.734042455877845,53.0,7.280109889280518,461578.50390625,1.3226846642448904,1.1500802859995862,21,336.000010013546,6.997362496076137e-06,9.97987362146401e-07,16.000000476835528,18.936170105681335
4.734042455877845,5.602789410025703,79.0,8.888194417315589,593458.21875,1.700594968731136,1.3040686211741834,27,432.00001287455916,8.140779785052795e-06,9.460807892810459e-07,18.936170105681335,22.41115797405394
5.602789410025703,6.630960635792442,106.0,10.295630140987,835237.306640625,2.393429452425447,1.5470712499511607,38,608.0000181197499,7.75277925777321e-06,7.790612416526012e-07,22.41115797405394,26.523842938404467
6.630960635792442,7.847812176332929,162.0,12.727922061357855,1274837.32421875,3.653133251062567,1.9113171508314801,58,928.0000276564604,7.763091563804426e-06,6.309937559728082e-07,26.523842938404467,31.39124917309617
7.847812176332929,9.287968868727752,191.0,13.820274961085254,1692456.439453125,4.849849313827733,2.2022373427557107,77,1232.0000367163354,6.874259094617908e-06,5.168019285745682e-07,31.39124917309617,37.1518760285152
9.287968868727752,10.992409574558124,257.0,16.0312195418814,2373833.244140625,6.802381009551799,2.6081374598651426,108,1728.0000514982366,6.587383827180445e-06,4.2763097204682896e-07,37.1518760285152,43.96963895342892
10.992409574558124,13.00963321073109,370.0,19.235384061671343,3340948.525390625,9.573715747180213,3.094142166607768,152,2432.0000724789998,6.742588795744306e-06,3.644670617564527e-07,43.96963895342892,52.03853361835627
13.00963321073109,15.397038759316873,539.0,23.2163735324878,4703702.375,13.478779840558758,3.671345780576757,214,3424.000102042802,6.982813252743039e-06,3.1231868772920604e-07,52.03853361835627,61.58815595499937
15.397038759316873,18.22255852381436,569.0,23.853720883753127,5978522.83984375,17.131864826693324,4.139065694899433,297,4752.00014162015,5.769277519612548e-06,2.530951236884311e-07,61.58815595499937,72.89023518140284
18.22255852381436,21.56659110524783,748.0,27.349588662354687,8264397.775390625,23.682195261907328,4.866435580782646,419,6704.000199794084,5.477696340051673e-06,2.1008160769767917e-07,72.89023518140284,86.26636570645591
21.56659110524783,25.524289099859935,1050.0,32.4037034920393,11627299.93359375,33.31882067202734,5.772245721729745,583,9328.00027799511,5.464946477444907e-06,1.7692095420585277e-07,86.26636570645591,102.09715792080071
25.524289099859935,30.208266613572547,1433.0,37.8549864614954,17100294.001953125,49.00205821403709,7.000147013744575,820,13120.00039100513,5.0583848893975094e-06,1.4070218138666033e-07,102.09715792080071,120.83306825483702
30.208266613572547,35.751803634040876,1935.0,43.98863489584554,25320769.125,72.55839003421868,8.518121273744503,1152,18432.00054931452,4.59711932837291e-06,1.1059543569011757e-07,120.83306825483702,143.00721666712977
35.751803634040876,42.31263843893406,2415.0,49.14264950122246,35277599.0078125,101.09036483037758,10.054370434312512,1605,25680.000765321016,4.099466855896192e-06,8.886773316169865e-08,143.00721666712977,169.25055627775737
42.31263843893406,50.07745595132096,2702.0,51.980765673468106,49630285.560546875,142.21896663264664,11.925559384475289,2258,36128.001076694614,3.2235621457856757e-06,6.716062738358673e-08,169.25055627775737,200.30982679012257
50.07745595132096,59.26719975582947,3038.0,55.11805511808268,68818333.08398438,197.20362490987003,14.042920811208402,3155,50480.001504416075,2.5799777500434077e-06,5.1656700851240214e-08,200.30982679012257,237.0688025559062
59.26719975582947,70.14335892605855,3559.0,59.65735495309862,94138237.39453125,269.7595367931634,16.424358032908422,4421,70736.00210808986,2.1837834286421765e-06,4.1081187385632514e-08,237.0688025559062,280.5734398850899
70.14335892605855,83.01540855143813,4155.0,64.45928947793328,131305846.04492188,376.265852580819,19.397573368357676,6194,99104.00295351923,1.7986318529525668e-06,3.2040974307579726e-08,280.5734398850899,332.0616391538395
83.01540855143813,98.2496156796098,4669.0,68.33008122342603,179020268.03710938,512.9947817984367,22.649388110905708,8671,138736.00413464083,1.450954806651376e-06,2.5131955787291643e-08,332.0616391538395,392.9984685745526
98.2496156796098,116.27946124254558,5826.0,76.32823854904552,258957646.32226562,742.0607888985487,27.240792736235644,12150,194400.00579355162,1.2270199228984048e-06,1.9560044888700965e-08,392.9984685745526,465.1178519009545
116.27946124254558,137.61797451654274,6482.0,80.51086883148137,367924426.1816406,1054.312524235268,32.470178999125764,17023,272368.0081171711,9.220112419445624e-07,1.4746903324093353e-08,465.1178519009545,550.4719062688133
137.61797451654274,162.8723310863287,7146.0,84.53401682163222,506178446.30078125,1450.4888434083562,38.0852838168282,23848,381568.01137157355,7.032489021999449e-07,1.1448192091285152e-08,550.4719062688133,651.489334053229
162.8723310863287,192.76112969026332,8096.0,89.97777503361594,679386453.9042969,1946.828197869178,44.12287612870651,33389,534224.0159210613,5.656916236272639e-07,9.219155444841007e-09,651.489334053229,771.0445302504726
192.76112969026332,228.13483954970818,9661.0,98.29038610159185,975652003.9140625,2795.7973269006,52.87529978071614,46771,748336.0223020742,4.3978298877056797e-07,7.149707300985391e-09,771.0445302504726,912.5393717966822
228.13483954970818,270.00000000000006,10908.0,104.44137111317526,1315915437.3391786,3770.8453909424825,61.40720960068519,65520,1048320.0312422635,3.389823822373617e-07,5.754372485434243e-09,912.5393717966822,1080.000016093199
