Inner_Radius_Pixels,Outer_Radius_Pixels,Photon_Counts,Photon_Counts_Err,Exposure_Sum,Background_Counts,Background_Err,Area_Pixels,Area_Arcsec2,Surface_Brightness,Surface_Brightness_Err,Inner_Radius_Arcsec,Outer_Radius_Arcsec
0.0,4.0000000596044405,39.0,6.244997998398398,263758.603515625,0.7558182579863577,0.8693780869025615,12,192.0000057220263,9.06230642633487e-06,1.494079537950742e-06,0.0,16.000000476835528
4.0000000596044405,4.734042455877845,14.0,3.7416573867739413,109899.060546875,0.31492324650600073,0.561180226403248,5,80.00000238417762,7.782753258734224e-06,2.1516941362710658e-06,16.000000476835528,18.936170105681335
4.734042455877845,5.602789410025703,20.0,4.47213595499958,131879.1171875,0.37790859292987844,0.6147427046577116,6,96.00000286101314,9.29927878307982e-06,2.1393595398595344e-06,18.936170105681335,22.41115797405394
5.602789410025703,6.630960635792442,31.0,5.5677643628300215,241777.6328125,0.6928302913427606,0.8323642780314161,11,176.00000524519078,7.834463545305415e-06,1.4552727449717531e-06,22.41115797405394,26.523842938404467
6.630960635792442,7.847812176332929,38.0,6.164414002968976,285737.3515625,0.8187998591787466,0.9048756042565999,13,208.0000061988618,8.13273072924766e-06,1.3628060144662026e-06,26.523842938404467,31.39124917309617
7.847812176332929,9.287968868727752,51.0,7.14142842854285,417615.50390625,1.1967057020798555,1.0939404472272956,19,304.00000905987497,7.453520694847653e-06,1.081247056252675e-06,31.39124917309617,37.1518760285152
9.287968868727752,10.992409574558124,76.0,8.717797887081348,615431.83984375,1.7635619015008395,1.3279916797558784,28,448.00001335139467,7.539059474171035e-06,8.955464482321029e-07,37.1518760285152,43.96963895342892
10.992409574558124,13.00963321073109,86.0,9.273618495495704,857207.095703125,2.4563853754645883,1.5672859903235874,39,624.0000185965854,6.091265208367147e-06,6.85738986759502e-07,43.96963895342892,52.03853361835627
13.00963321073109,15.397038759316873,118.0,10.862780491200215,1098980.1484375,3.1492025224390683,1.7745992568574653,50,800.0000238417762,6.5316690557402235e-06,6.259655560592113e-07,52.03853361835627,61.58815595499937
15.397038759316873,18.22255852381436,141.0,11.874342087037917,1648465.970703125,4.723791644108529,2.173428545894373,75,1200.0000357626643,5.1667810678415055e-06,4.576834931093729e-07,61.58815595499937,72.89023518140284
18.22255852381436,21.56659110524783,214.0,14.628738838327793,2329821.736328125,6.676263007470653,2.58384655261698,106,1696.0000505445655,5.561684387186496e-06,3.9850623625862996e-07,72.89023518140284,86.26636570645591
21.56659110524783,25.524289099859935,289.0,17.0,3121070.14453125,8.943639314262684,2.990591800005926,142,2272.0000677106445,5.6081796341182835e-06,3.456555497646091e-07,86.26636570645591,102.09715792080071
25.524289099859935,30.208266613572547,369.0,19.209372712298546,4549706.76171875,13.037494873075783,3.6107471350228586,207,3312.0000987049534,4.889909849706157e-06,2.6850327814537344e-07,102.09715792080071,120.83306825483702
30.208266613572547,35.751803634040876,451.0,21.236760581595302,6308000.759765625,18.076006146175544,4.251588661450628,287,4592.000136851795,4.289433346626353e-06,2.145901961934494e-07,120.83306825483702,143.00721666712977
35.751803634040876,42.31263843893406,514.0,22.67156809750927,8791586.38671875,25.192890075720694,5.019251943837915,400,6400.000190734209,3.4749636886862963e-06,1.6507634138285594e-07,143.00721666712977,169.25055627775737
42.31263843893406,50.07745595132096,621.0,24.919871588754223,12374033.462890625,35.458636432800844,5.954715478744626,563,9008.0002684584,2.9575105192699945e-06,1.2941136004053468e-07,169.25055627775737,200.30982679012257
50.07745595132096,59.26719975582947,710.0,26.645825188948457,17319060.091796875,49.628947358802975,7.044781569275442,788,12608.000375746393,2.3831079366478473e-06,9.94618283560347e-08,200.30982679012257,237.0688025559062
59.26719975582947,70.14335892605855,866.0,29.427877939124322,24285905.326171875,69.59291730887668,8.342236948737233,1105,17680.000526903255,2.0495608673536124e-06,7.871711512975074e-08,237.0688025559062,280.5734398850899
70.14335892605855,83.01540855143813,1010.0,31.78049716414141,33999687.869140625,97.42842326120487,9.870583734572381,1547,24752.000737664555,1.6775366310980545e-06,6.117344059066155e-08,280.5734398850899,332.0616391538395
83.01540855143813,98.2496156796098,994.0,31.52776554086889,47493101.67578125,136.09472039050746,11.665964186063125,2161,34576.00103044157,1.1289866630245448e-06,4.423916222993208e-08,332.0616391538395,392.9984685745526
98.2496156796098,116.27946124254558,1178.0,34.322004603461025,62105964.033203125,177.9688737712422,13.340497508385592,3041,48656.00145005683,1.0063758690419142e-06,3.7057110895318055e-08,392.9984685745526,465.1178519009545
116.27946124254558,137.61797451654274,1281.0,35.79106033634656,92651092.96289062,265.4980229659632,16.294110069775616,4255,68080.00202893515,6.850310087387214e-07,2.6527977597274788e-08,465.1178519009545,550.4719062688133
137.61797451654274,162.8723310863287,1628.0,40.34848200366403,129631223.484375,371.4671077102764,19.273481981994752,5959,95344.00284146289,6.058208918864896e-07,2.155894559081956e-08,550.4719062688133,651.489334053229
162.8723310863287,192.76112969026332,1739.0,41.701318923986086,165111673.52929688,473.1387563862027,21.75175294973264,8340,133440.00397680828,4.791685752853933e-07,1.7803623740479052e-08,651.489334053229,771.0445302504726
192.76112969026332,228.13483954970818,2107.0,45.902069670114,245317429.953125,702.9738186423948,26.513653438226783,11690,187040.0055742073,3.577064774256941e-07,1.3505253326926754e-08,771.0445302504726,912.5393717966822
228.13483954970818,270.00000000000006,2606.0,51.048996072400875,348083366.65234375,997.4566156559185,31.58253656145938,16376,262016.00780865853,2.8882149552920325e-07,1.0778451762800765e-08,912.5393717966822,1080.000016093199
