Inner_Radius_Pixels,Outer_Radius_Pixels,Photon_Counts,Photon_Counts_Err,Exposure_Sum,Background_Counts,Background_Err,CXB_Counts,CXB_Err,Area_Pixels,Area_Arcsec2,Surface_Brightness,Surface_Brightness_Err,Inner_Radius_Arcsec,Outer_Radius_Arcsec
0.0,4.0000000596044405,28.0,5.291502622129181,241780.771484375,0.6928392914369155,0.8323696843572065,0.00031975589149698796,1.7949976530586216e-05,11,176.00000524519078,7.0587809700553e-06,1.3846659360275059e-06,0.0,16.000000476835528
4.0000000596044405,4.734042455877845,14.0,3.7416573867739413,109900.8515625,0.31492837636735926,0.5611847969852348,6.606556794085507e-05,3.7086897397459475e-06,5,80.00000238417762,7.782585937493042e-06,2.1516594563992117e-06,16.000000476835528,18.936170105681335
4.734042455877845,5.602789410025703,13.0,3.605551275463989,131881.15625,0.37791444395262763,0.6147474635593283,9.513451476831887e-05,5.340518666740868e-06,6,96.00000286101314,5.981706562688555e-06,1.7333707566032075e-06,18.936170105681335,22.41115797405394
5.602789410025703,6.630960635792442,23.0,4.795831523312719,175841.814453125,0.5038867089322147,0.7098497791309191,0.0001691282886264383,9.494270136165347e-06,8,128.0000038146842,7.995802776743324e-06,1.723168275867187e-06,22.41115797405394,26.523842938404467
6.630960635792442,7.847812176332929,33.0,5.744562646538029,329704.10546875,0.9447895906872145,0.9720028758636543,0.0005945929081678824,3.337836465467293e-05,15,240.00000715253287,6.076398187310433e-06,1.1044402101105113e-06,26.523842938404467,31.39124917309617
7.847812176332929,9.287968868727752,48.0,6.928203230275509,417626.44921875,1.1967370726003475,1.0939547854460656,0.0009539941412415811,5.35538918936993e-05,19,304.00000905987497,7.004212081454369e-06,1.0496878213602514e-06,31.39124917309617,37.1518760285152
9.287968868727752,10.992409574558124,71.0,8.426149773176359,571490.626953125,1.6376453582580344,1.2797051841178242,0.0017864323341436742,0.00010028405832097507,26,416.0000123977236,7.585488159283283e-06,9.320769567955459e-07,37.1518760285152,43.96963895342892
10.992409574558124,13.00963321073109,85.0,9.219544457292887,791297.84765625,2.2675179236581773,1.5058279860788142,0.0034248897529206694,0.00019226132283898937,36,576.0000171660788,6.534285333117225e-06,7.378470274554355e-07,43.96963895342892,52.03853361835627
13.00963321073109,15.397038759316873,143.0,11.958260743101398,1164971.18359375,3.3383043709283986,1.827102725882811,0.007423268399807337,0.0004167163048441883,53,848.0000252722828,7.49236709485881e-06,6.489987061986332e-07,52.03853361835627,61.58815595499937
15.397038759316873,18.22255852381436,138.0,11.74734012447073,1099032.658203125,3.1493530143980624,1.774641658025096,0.009910052886411697,0.0005563156816131215,75,1200.0000357626643,7.668148661672938e-06,6.756298874078993e-07,61.58815595499937,72.89023518140284
