Inner_Radius_Pixels,Outer_Radius_Pixels,Photon_Counts,Photon_Counts_Err,Exposure_Sum,Background_Counts,Background_Err,CXB_Counts,CXB_Err,Area_Pixels,Area_Arcsec2,Surface_Brightness,Surface_Brightness_Err,Inner_Radius_Arcsec,Outer_Radius_Arcsec
0.0,4.0000000596044405,34.0,5.830951894845301,307717.41015625,0.8817852200258522,0.9390341953442656,0.0005179456801202414,2.907565755473946e-05,14,224.00000667569734,6.726483202253845e-06,1.1995746724982175e-06,0.0,16.000000476835528
4.0000000596044405,4.734042455877845,18.0,4.242640687119285,131878.39453125,0.3779065352160439,0.6147410310171625,9.51325225597223e-05,5.340406831123438e-06,6,96.00000286101314,8.351442757986702e-06,2.0316756343493955e-06,16.000000476835528,18.936170105681335
4.734042455877845,5.602789410025703,20.0,4.47213595499958,175837.5390625,0.5038744491885743,0.7098411436290336,0.00016912417646743982,9.49403929395266e-06,8,128.0000038146842,6.92967637540501e-06,1.6094829278901385e-06,18.936170105681335,22.41115797405394
5.602789410025703,6.630960635792442,26.0,5.0990195135927845,197816.822265625,0.5668575888585966,0.7528994546807672,0.00021404734308944545,1.2015868626852413e-05,9,144.0000042915197,8.035504549914402e-06,1.6284966788566571e-06,22.41115797405394,26.523842938404467
6.630960635792442,7.847812176332929,52.0,7.211102550927978,329693.845703125,0.9447601913411905,0.971987752670367,0.0005945744055657646,3.3377325983353344e-05,15,240.00000715253287,9.678419156533937e-06,1.3793696206028854e-06,26.523842938404467,31.39124917309617
7.847812176332929,9.287968868727752,39.0,6.244997998398398,417611.32421875,1.196693716377544,1.093934968989265,0.0009539595908403476,5.355195235510827e-05,19,304.00000905987497,5.657526060290136e-06,9.488616714636476e-07,31.39124917309617,37.1518760285152
9.287968868727752,10.992409574558124,50.0,7.0710678118654755,593445.345703125,1.7005580933453621,1.3040544825065257,0.001926409463993672,0.00010814188443909037,27,432.00001287455916,5.086558771536251e-06,7.572632690929261e-07,37.1518760285152,43.96963895342892
10.992409574558124,13.00963321073109,93.0,9.643650760992955,879174.912109375,2.519335630175198,1.587241516019285,0.004228042935942174,0.00023734753131573737,40,640.000019073421,6.431913631769046e-06,6.947848891242586e-07,43.96963895342892,52.03853361835627
13.00963321073109,15.397038759316873,160.0,12.649110640673518,1274797.25390625,3.6530184373614385,1.9112871153653075,0.008889415862933635,0.0004990206915758506,58,928.0000276564604,7.66485057763599e-06,6.271925563505482e-07,52.03853361835627,61.58815595499937
15.397038759316873,18.22255852381436,174.0,13.19090595827292,1582497.541015625,4.534754623220471,2.1294963308774384,0.013698709350214324,0.0007689975943351317,72,1152.0000343321576,6.692409357104179e-06,5.277136728998103e-07,61.58815595499937,72.89023518140284
18.22255852381436,21.56659110524783,208.0,14.422205101855956,2351752.265625,6.739106462987056,2.595978902646756,0.030253767128655015,0.0016983405915643429,107,1712.000051021401,5.347890929938302e-06,3.8944309415156535e-07,72.89023518140284,86.26636570645591
21.56659110524783,25.524289099859935,302.0,17.378147196982766,3296819.609375,9.447261308887118,3.0736397493667207,0.05945529724163478,0.0033376122801365956,150,2400.0000715253286,5.544989363483329e-06,3.3456236510274314e-07,86.26636570645591,102.09715792080071
25.524289099859935,30.208266613572547,447.0,21.142374511865974,4461651.521484375,12.785166593909693,3.575635131540926,0.10889195510071814,0.006112813212844121,203,3248.000096797611,6.081071191117528e-06,3.0037366494295147e-07,102.09715792080071,120.83306825483702
30.208266613572547,35.751803634040876,578.0,24.041630560342615,6439651.27734375,18.453259722637554,4.295725750398593,0.22684754374244145,0.01273442708790969,293,4688.000139712809,5.428475976180461e-06,2.3703142189261821e-07,120.83306825483702,143.00721666712977
35.751803634040876,42.31263843893406,774.0,27.820855486487112,8857141.83203125,25.38074375730612,5.03793050342163,0.429143714812128,0.024090626049336906,403,6448.000192164716,5.27956778001156e-06,1.9950941905072952e-07,143.00721666712977,169.25055627775737
42.31263843893406,50.07745595132096,762.0,27.60434748368452,12505272.46875,35.83471077577241,5.986210051090122,0.8554793603387701,0.04802361691786525,569,9104.000271319414,3.6250199169018337e-06,1.411704947756708e-07,169.25055627775737,200.30982679012257
50.07745595132096,59.26719975582947,843.0,29.03446228191595,17427901.37109375,49.94083948706034,7.066883293720106,1.6615843449490972,0.09327552920383554,793,12688.000378130571,2.8381126323362624e-06,1.0716386529882314e-07,200.30982679012257,237.0688025559062
59.26719975582947,70.14335892605855,942.0,30.692018506445613,24306127.970703125,69.65086662184666,8.345709473846227,3.2320272815963076,0.18143469876117854,1106,17696.00052738009,2.2348198601462515e-06,8.178744080327475e-08,237.0688025559062,280.5734398850899
70.14335892605855,83.01540855143813,930.0,30.495901363953813,31118032.75390625,89.17084416265183,9.443031513378097,5.8138960027973585,0.32637177164400943,1554,24864.000741002405,1.677112836696801e-06,6.41230336121138e-08,280.5734398850899,332.0616391538395
83.01540855143813,98.2496156796098,1131.0,33.63034344160047,47224602.26171875,135.32531707693892,11.632941032986409,12.354674584703272,0.6935481870254853,2176,34816.0010375941,1.3013873224168197e-06,4.7104978214810596e-08,332.0616391538395,392.9984685745526
