source_id,optical_ra,optical_dec,xray_ra,xray_dec,ra_offset_arcsec,dec_offset_arcsec,separation_arcsec
1,107.88298535339017,-49.42589513665262,107.88126424403917,-49.427678382033335,6.1959936635844315,6.419683370572216,7.5797875162317565
2,107.88238550177074,-49.427111049505484,107.88126424403917,-49.427678382033335,4.0365278336480515,2.0423971002628605,3.3262778811799105
3,107.88048195683947,-49.425654953314016,107.88126424403917,-49.427678382033335,-2.816233918912303,7.284343389548553,7.511119699051471
4,107.88180210564755,-49.42664298236295,107.88126424403917,-49.427678382033335,1.9363017901639523,3.727438813388062,3.9344483683237796
5,106.9806122585214,-48.917936121134346,106.98399504107533,-48.916980248432004,-12.178017194139557,-3.4411417284303525,8.711208352232
6,106.98321998448009,-48.91775355890289,106.98399504107533,-48.916980248432004,-2.7902037428816584,-2.7839176951800937,3.3334950733840283
7,107.88454767430176,-49.426506356599475,107.88126424403917,-49.427678382033335,11.82034894530375,4.2192915618954885,8.769824463805966
8,107.0311672643049,-49.118241752826016,107.03183753663234,-49.11794671931571,-2.4129803787843684,-1.0621206370984737,1.9032316917758165
9,107.12347364457719,-49.21413698408804,107.12316084494482,-49.21335171747375,1.1260786765262765,-2.826959811457641,2.9210968713237095
10,106.66888675743441,-49.23393848852678,106.66942143332554,-49.23231103930297,-1.9248332080735508,-5.858817205719902,5.9921193333457
11,107.63314079342219,-49.348018767838326,107.63288797122951,-49.34823934904454,0.9101598936410937,0.794092342371755,0.9910365027150252
12,107.62191998385956,-49.199744449635766,107.61984364829966,-49.19855375237163,7.474808015609824,-4.286510150888034,6.498487281375931
13,107.80700390760236,-48.99438331153578,107.81057095747613,-48.995552822249,-12.841379545557174,4.210238567611668,9.418920893902476
14,107.24343948076029,-49.21850170041421,107.24255617279425,-49.21710258387561,3.179908677725507,-5.036819538960913,5.448281391803589
15,107.24007770832165,-49.216368296358105,107.24255617279425,-49.21710258387561,-8.922472101369294,2.643435063009747,6.3996193771404375
16,107.63251776628509,-49.34712232909264,107.63288797122951,-49.34823934904454,-1.3327377999019063,4.0212718268350045,4.113934760404871
17,107.33065190242658,-49.608891825155894,107.33391343549836,-49.60723557211667,-11.741519058404037,-5.962510941199639,9.666599575464913
18,107.23715501663293,-49.14625673090094,107.23601414261088,-49.145425472627835,4.1071464793503765,-2.992529783168152,4.021594827096324
19,107.23787236868094,-49.146564716005074,107.23601414261088,-49.145425472627835,6.689613852199727,-4.1012761580589085,5.997415342879635
20,107.04752548204381,-49.16472319224858,107.04431568867412,-49.16333974256231,11.555256130890257,-4.980418870582071,9.049678659058086
21,107.84417850061175,-49.042808242749345,107.844771967832,-49.045224197426776,-2.1364819929203804,8.697436838752992,8.80945977007542
22,106.93754573224345,-49.158491908070985,106.93772985404694,-49.15735130536247,-0.6628384925477349,-4.106169750662048,4.128987230380555
