Inner_Radius_Pixels,Outer_Radius_Pixels,Photon_Counts,Photon_Counts_Err,Exposure_Sum,Background_Counts,Background_Err,Area_Pixels,Area_Arcsec2,Surface_Brightness,Surface_Brightness_Err,Inner_Radius_Arcsec,Outer_Radius_Arcsec
0.0,4.0000000596044405,34.0,5.830951894845301,307717.41015625,0.8817852200258522,0.9390341953442656,14,224.00000667569734,6.726588401384523e-06,1.199574672483681e-06,0.0,16.000000476835528
4.0000000596044405,4.734042455877845,18.0,4.242640687119285,131878.39453125,0.3779065352160439,0.6147410310171625,6,96.00000286101314,8.351487843328422e-06,2.031675634347819e-06,16.000000476835528,18.936170105681335
4.734042455877845,5.602789410025703,20.0,4.47213595499958,175837.5390625,0.5038744491885743,0.7098411436290336,8,128.0000038146842,6.929736489193968e-06,1.6094829278866008e-06,18.936170105681335,22.41115797405394
5.602789410025703,6.630960635792442,26.0,5.0990195135927845,197816.822265625,0.5668575888585966,0.7528994546807672,9,144.0000042915197,8.035572177926978e-06,1.628496678852232e-06,22.41115797405394,26.523842938404467
6.630960635792442,7.847812176332929,52.0,7.211102550927978,329693.845703125,0.9447601913411905,0.971987752670367,15,240.00000715253287,9.678531869888234e-06,1.3793696205883734e-06,26.523842938404467,31.39124917309617
7.847812176332929,9.287968868727752,39.0,6.244997998398398,417611.32421875,1.196693716377544,1.093934968989265,19,304.00000905987497,5.657668830538912e-06,9.488616714297997e-07,31.39124917309617,37.1518760285152
9.287968868727752,10.992409574558124,50.0,7.0710678118654755,593445.345703125,1.7005580933453621,1.3040544825065257,27,432.00001287455916,5.086761655573985e-06,7.572632690072797e-07,37.1518760285152,43.96963895342892
10.992409574558124,13.00963321073109,93.0,9.643650760992955,879174.912109375,2.519335630175198,1.587241516019285,40,640.000019073421,6.4322142007138386e-06,6.947848889193791e-07,43.96963895342892,52.03853361835627
13.00963321073109,15.397038759316873,160.0,12.649110640673518,1274797.25390625,3.6530184373614385,1.9112871153653075,58,928.0000276564604,7.665286402605942e-06,6.271925558733662e-07,52.03853361835627,61.58815595499937
15.397038759316873,18.22255852381436,174.0,13.19090595827292,1582497.541015625,4.534754623220471,2.1294963308774384,72,1152.0000343321576,6.692950381204806e-06,5.277136720258423e-07,61.58815595499937,72.89023518140284
18.22255852381436,21.56659110524783,208.0,14.422205101855956,2351752.265625,6.739106462987056,2.595978902646756,107,1712.000051021401,5.348694951865623e-06,3.89443091536079e-07,72.89023518140284,86.26636570645591
21.56659110524783,25.524289099859935,302.0,17.378147196982766,3296819.609375,9.447261308887118,3.0736397493667207,150,2400.0000715253286,5.546116497026302e-06,3.34562359119532e-07,86.26636570645591,102.09715792080071
25.524289099859935,30.208266613572547,447.0,21.142374511865974,4461651.521484375,12.785166593909693,3.575635131540926,203,3248.000096797611,6.082596578512351e-06,3.0037365273735165e-07,102.09715792080071,120.83306825483702
30.208266613572547,35.751803634040876,578.0,24.041630560342615,6439651.27734375,18.453259722637554,4.295725750398593,293,4688.000139712809,5.430677643701069e-06,2.370313896701916e-07,120.83306825483702,143.00721666712977
35.751803634040876,42.31263843893406,774.0,27.820855486487112,8857141.83203125,25.38074375730612,5.03793050342163,403,6448.000192164716,5.282596012130347e-06,1.99509346627871e-07,143.00721666712977,169.25055627775737
42.31263843893406,50.07745595132096,762.0,27.60434748368452,12505272.46875,35.83471077577241,5.986210051090122,569,9104.000271319414,3.6292955101415123e-06,1.4117029073825955e-07,169.25055627775737,200.30982679012257
50.07745595132096,59.26719975582947,843.0,29.03446228191595,17427901.37109375,49.94083948706034,7.066883293720106,793,12688.000378130571,2.8440714116667815e-06,1.07163343229761e-07,200.30982679012257,237.0688025559062
59.26719975582947,70.14335892605855,942.0,30.692018506445613,24306127.970703125,69.65086662184666,8.345709473846227,1106,17696.00052738009,2.243130591469774e-06,8.178611017709823e-08,237.0688025559062,280.5734398850899
70.14335892605855,83.01540855143813,930.0,30.495901363953813,31118032.75390625,89.17084416265183,9.443031513378097,1554,24864.000741002405,1.6887899402020036e-06,6.411968296870688e-08,280.5734398850899,332.0616391538395
83.01540855143813,98.2496156796098,1131.0,33.63034344160047,47224602.26171875,135.32531707693892,11.632941032986409,2176,34816.0010375941,1.3177382730135514e-06,4.7096034434946864e-08,332.0616391538395,392.9984685745526
98.2496156796098,116.27946124254558,1366.0,36.959437225152655,66933249.1796875,191.80178842236657,13.84925226943197,3046,48736.00145244101,1.096426468696909e-06,3.6854811623158914e-08,392.9984685745526,465.1178519009545
116.27946124254558,137.61797451654274,1352.0,36.76955262170047,93779905.42578125,268.7327117432972,16.393069015388708,4268,68288.00203513402,7.219478756234235e-07,2.6830323729975168e-08,465.1178519009545,550.4719062688133
137.61797451654274,162.8723310863287,1463.0,38.24918299781056,131188836.0234375,375.9305526307566,19.388928609666824,5971,95536.00284718491,5.178934465400848e-07,2.042987878144495e-08,550.4719062688133,651.489334053229
162.8723310863287,192.76112969026332,1748.0,41.80908992073375,183810455.70898438,526.7213911547515,22.950411568308564,8367,133872.00398968282,4.1526424861747583e-07,1.6217126278872945e-08,651.489334053229,771.0445302504726
192.76112969026332,228.13483954970818,2045.0,45.221676218380054,249205256.32421875,714.1146506157587,26.722923691388235,11704,187264.00558088298,3.3378241327838604e-07,1.3173697284470131e-08,771.0445302504726,912.5393717966822
228.13483954970818,270.00000000000006,2058.0,45.36518488885502,265677600.84503788,761.3172762516268,27.591978476572258,16395,262320.00781771843,3.050414019143892e-07,1.249099515564381e-08,912.5393717966822,1080.000016093199
